Altium Designer Pick and Place Locations
D:\四轴飞机\电路\Smart-Plane\Smart-Plane\Project Outputs for Smart-Plane\Pick Place\Pick Place for Quadcopter_FC.csv

========================================================================================================================
File Design Information:

Date:       15/09/26
Time:       21:04
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

﻿"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C31","10μF","TopLayer","0603C","38.4886","19.4386","180","4.7μF_50V,±10%"
"U1","STM32F103T8U6-36PIN","TopLayer","QFN-36N","7.8584","9.1771","270",""
"L2","3.3μH_5.5A_7*7*3","BottomLayer","7*7*3mm_-_06030","42.2224","7.0258","90","4.7μH_5.5A_"
"P2","贴片下载口","TopLayer","DOWNLOAD","8.8519","-0.7696","180","微型下载口"
"R8","3K ohm","BottomLayer","0603R","35.4457","18.2601","180","13K ohm,1%"
"Q1","CJ2310","TopLayer","SOT23-3","34.3942","2.8332","180","CJ2310"
"C1","4.7μF","TopLayer","0603C","14.2367","14.2418","180","0.1μF_50V,X7R,±5%"
"C32","0.1μF","BottomLayer","0603C","21.1658","1.0871","180","0.1μF_50V,X7R,±5%"
"R2","10K ohm","TopLayer","0603R","2.3927","18.4074","0","10K ohm,1%"
"P4","Header 3","TopLayer","HDR1X3","-0.4623","5.9309","90","Header, 3-Pin"
"C17","10μF","BottomLayer","0603C","25.6718","20.4343","90","10μF_35V,X5R,20%"
"U3","TP2019-3.3YN5","BottomLayer","SOT-23-5","29.7535","17.1298","270","TP2019-3.3YN5"
"D6","1n5819","TopLayer","0603R","35.0342","19.4310","180","二极管配置:独立式;正向压降(Vf):600mV@200mA;直流反向耐压(Vr):40V;整流电流:350mA;"
"R22","0ohm","BottomLayer","0603R","18.0292","-0.4202","0","24K ohm,1%"
"R21","0ohm","TopLayer","0603R","21.3182","15.1968","90","24K ohm,1%"
"P5","Header 2","TopLayer","HDR1X2","36.6192","-0.3937","180","Header, 2-Pin"
"U2","FP6276BXR-G1","BottomLayer","SO8_-_FP6277","35.9613","11.8186","90","FP6277"
"Q4","CJ2310","TopLayer","SOT23-3","44.2965","4.9810","270","CJ2310"
"C13","100μF","BottomLayer","D7343C","41.4025","20.2971","0","100μF_16V"
"C22","0.1μF","TopLayer","0603C","36.8681","9.9085","270","0.1μF_50V,X7R,±5%"
"C20","1nF","BottomLayer","0603C","31.9710","6.3703","270","1μF_50V,X5R,±10%"
"D3","蓝色LED","BottomLayer","0603LED","2.2225","6.9952","270","蓝色LED"
"D2","绿色LED","BottomLayer","0603LED","2.7254","2.0218","0","蓝色LED"
"C23","0.1μF","TopLayer","0603C","22.8295","15.1943","270","0.1μF_50V,X7R,±5%"
"C10","0.1μF","TopLayer","0603C","3.8990","0.6619","180","0.1μF_50V,X7R,±5%"
"D7","1n5819","TopLayer","0603R","45.4177","8.2067","270","二极管配置:独立式;正向压降(Vf):600mV@200mA;直流反向耐压(Vr):40V;整流电流:350mA;"
"D5","1n5819","TopLayer","0603R","45.4304","16.7310","270","二极管配置:独立式;正向压降(Vf):600mV@200mA;直流反向耐压(Vr):40V;整流电流:350mA;"
"D4","1n5819","TopLayer","0603R","37.6733","1.6764","180","二极管配置:独立式;正向压降(Vf):600mV@200mA;直流反向耐压(Vr):40V;整流电流:350mA;"
"R10","100K ohm","BottomLayer","0603R","30.3606","14.3662","0","10K ohm,1%"
"C21","0.1μF","BottomLayer","0603C","30.3251","12.8346","180","1μF_50V,X5R,±10%"
"C14","10μF","BottomLayer","0603C","30.7561","20.8367","270","1μF_50V,X5R,±10%"
"S1","BX-TS-26-4416TT","TopLayer","SW-SMD_4P-L5.2-W5.2-P3.70-LS6.5","20.2971","1.9152","180",""
"R7","10K ohm","BottomLayer","0603R","33.4797","6.2205","90","10K ohm,1%"
"R6","22Kohm","BottomLayer","0603R","35.7962","16.4084","0","100K ohm_5%"
"R5","56K ohm","BottomLayer","0603R","39.4792","13.9624","90","30K ohm,1%"
"R4","4.7ohm","BottomLayer","0603R","35.6438","6.0579","90","24K ohm,1%"
"C19","22μF","BottomLayer","1206C","40.0970","16.7589","180","22μF_35V,20%"
"C12","22μF","BottomLayer","1206C","43.4066","1.4732","180","22μF_35V,20%"
"C11","470pF","BottomLayer","0603C","37.2008","5.9842","270","2.2nF_50V,X7R,10%"
"C2","0.1μF","TopLayer","0603C","13.5255","12.7356","180","0.1μF_50V,X7R,±5%"
"C3","0.1μF","TopLayer","0603C","4.6581","4.2205","0","0.1μF_50V,X7R,±5%"
"C4","0.1μF","TopLayer","0603C","10.8356","4.4399","0","0.1μF_50V,X7R,±5%"
"C5","1μF","TopLayer","0603C","2.3952","13.8760","0","0.1μF_50V,X7R,±5%"
"C6","0.01μF","TopLayer","0603C","2.3952","15.3949","0","0.1μF_50V,X7R,±5%"
"C7","20pF","TopLayer","0603C","10.7772","15.4000","180","20pF_50V,CH,±5%"
"C9","0.1μF","TopLayer","0603C","3.7186","19.8501","180","0.1μF_50V,X7R,±5%"
"C8","20pF","TopLayer","0603C","7.3762","15.4305","0","20pF_50V,CH,±5%"
"C15","470pF","BottomLayer","0603C","29.2395","20.8245","270","1μF_50V,X5R,±10%"
"C16","10μF","BottomLayer","0603C","27.1628","20.4622","270","1μF_50V,X5R,±10%"
"C18","0.01μF","BottomLayer","0603C","24.1732","20.4368","90","0.1μF_50V,X7R,±5%"
"C24","0.01μF","TopLayer","0603C","24.3332","15.1917","270","0.1μF_50V,X7R,±5%"
"C25","2.2nF","TopLayer","0603C","19.2430","15.2578","270","10μF_35V,X5R,20%"
"C26","0.1μF","TopLayer","0603C","26.1061","13.0937","270","0.1μF_50V,X7R,±5%"
"C27","10μF","BottomLayer","0603C","17.7343","1.0592","0","10μF_35V,X5R,20%"
"C28","10μF","TopLayer","0603C","37.6733","3.2029","0","4.7μF_50V,±10%"
"C29","10μF","TopLayer","0603C","43.8785","16.9367","90","4.7μF_50V,±10%"
"C30","10μF","TopLayer","0603C","43.9318","8.1915","90","4.7μF_50V,±10%"
"D1","红色LED","BottomLayer","0603LED","2.3343","15.6921","180","蓝色LED"
"L1","BEAD-220/100MHZ","TopLayer","0603R","2.3673","16.8885","180","BEAD-220/100MHZ"
"P3","Header 2","BottomLayer","HDR1X2","28.2118","-0.3150","0","Header, 2-Pin"
"P1","拨动开关直插-3P","TopLayer","switch-3P","28.2423","6.8087","90","拨动开关直插-3P"
"P6","Header 2","TopLayer","HDR1X2","47.5640","15.4584","270","Header, 2-Pin"
"P7","Header 2","TopLayer","HDR1X2","33.7287","21.5875","180","Header, 2-Pin"
"P8","Header 2","TopLayer","HDR1X2","47.5894","6.6802","270","Header, 2-Pin"
"Q2","CJ2310","TopLayer","SOT23-3","44.2076","13.6347","270","CJ2310"
